t_start_s,order0_dBFS,order1_dBFS,order2_dBFS,order3_dBFS,order4_dBFS,order5_dBFS
365.0,-46.624,-50.463,-61.775,-66.380,-68.494,-71.033
366.0,-42.167,-46.052,-56.813,-60.991,-63.797,-65.888
367.0,-45.561,-49.451,-60.379,-65.314,-67.430,-70.540
368.0,-43.114,-47.044,-58.409,-62.607,-64.765,-67.702
369.0,-44.470,-48.383,-59.855,-64.823,-66.975,-69.982
370.0,-34.296,-39.571,-47.941,-51.427,-53.950,-57.084
371.0,-42.261,-46.230,-54.434,-57.761,-60.702,-63.630
372.0,-37.402,-41.772,-50.136,-53.932,-57.411,-60.141
373.0,-39.196,-43.041,-51.528,-55.090,-58.662,-61.812
374.0,-40.899,-44.730,-54.243,-58.418,-61.965,-64.562
375.0,-35.866,-38.598,-48.913,-52.930,-56.117,-58.836
376.0,-38.837,-42.332,-51.841,-56.397,-59.985,-63.026
377.0,-40.991,-45.305,-56.057,-60.962,-64.465,-66.884
378.0,-37.444,-40.209,-51.123,-55.153,-57.851,-61.101
379.0,-31.118,-36.096,-44.943,-48.278,-51.685,-54.452
380.0,-32.423,-36.553,-45.515,-48.823,-52.285,-55.212
381.0,-35.401,-39.620,-48.094,-51.967,-55.526,-58.598
382.0,-31.380,-35.699,-43.161,-46.363,-49.554,-52.012
383.0,-31.386,-35.400,-42.923,-46.398,-49.396,-51.894
384.0,-31.968,-35.367,-42.813,-46.149,-49.086,-51.659
385.0,-30.392,-34.112,-43.184,-46.997,-50.018,-53.024
386.0,-34.593,-38.903,-47.478,-51.071,-54.595,-57.381
387.0,-34.556,-39.509,-48.103,-51.631,-54.964,-58.081
388.0,-30.221,-35.337,-43.570,-47.264,-49.978,-52.014
389.0,-32.956,-36.319,-44.539,-47.718,-50.716,-53.239
390.0,-33.823,-37.485,-45.681,-49.117,-52.080,-54.910
391.0,-36.448,-40.950,-49.278,-53.260,-56.886,-59.760
392.0,-37.181,-41.840,-50.227,-54.007,-56.984,-59.800
393.0,-33.591,-38.191,-45.841,-49.091,-51.653,-54.378
394.0,-30.198,-34.630,-41.951,-45.073,-48.463,-51.214
395.0,-29.408,-33.775,-40.950,-43.791,-46.479,-49.706
396.0,-30.648,-35.034,-41.701,-44.692,-47.496,-50.293
397.0,-27.014,-31.172,-37.425,-40.018,-42.140,-44.201
398.0,-31.448,-34.596,-42.341,-45.324,-47.947,-50.446
399.0,-30.220,-33.020,-41.165,-45.224,-48.155,-50.992
400.0,-26.730,-30.266,-39.478,-43.491,-47.007,-50.154
401.0,-31.862,-37.137,-45.340,-49.131,-52.821,-55.648
402.0,-30.857,-35.526,-42.609,-45.906,-48.787,-51.212
